TimeStep,Vn[1],Vn[2],Vn[3],Vn[4],Vn[5],Vn[6],Vn[7],Vn[8],Vn[9],Vn[10],Vn[11]
113,-0.000925288,-0.00408398,0.0078292,-0.0118539,0.0137438,-0.0123765,0.00794045,-0.00289077,0.00173545,-0.00387571,0.00212828
114,-0.00250464,6.77176e-05,-0.00200678,0.00487799,-0.00477649,0.00183879,-0.000545774,0.00164569,-0.00147937,0.00178745,-0.00655876
115,-0.00121846,0.00305771,-0.00960295,0.017475,-0.0192294,0.0138041,-0.00788799,0.00485302,-0.00309622,0.00454735,-0.00817701
116,0.000919623,0.00181349,-0.00726446,0.0141265,-0.0162478,0.012088,-0.00662193,0.00288779,-0.000814862,0.00221527,-0.00289366
117,0.00136656,-0.00192368,0.00269126,-0.00216336,0.00141133,-0.00138949,0.00169905,-0.00238054,0.00314969,-0.00215157,0.00318304
118,-0.000278562,-0.00368455,0.0102796,-0.0163459,0.0174766,-0.0133947,0.008228,-0.00524641,0.00440637,-0.00385945,0.00456686
119,-0.00198156,-0.00110289,0.00772051,-0.0154164,0.0173684,-0.0122764,0.00598268,-0.00233049,0.0011834,-0.0013943,0.00127626
120,-0.00154223,0.00346495,-0.00282866,-0.000506535,0.0016528,0.000817875,-0.00290569,0.0035422,-0.00356247,0.00238292,-0.00225276
121,0.000961363,0.0052076,-0.0112239,0.0143627,-0.0148113,0.01319,-0.0092512,0.00602675,-0.00504582,0.00351487,-0.00228759
122,0.00308448,0.00178082,-0.00911461,0.0155417,-0.0169817,0.0129514,-0.00616693,0.00192367,-0.00162086,0.00105604,0.000590416
123,0.00243265,-0.00404391,0.00188261,0.00242586,-0.00353786,0.000450041,0.00371958,-0.0050882,0.00335946,-0.00218843,0.0027419
124,-0.000805629,-0.00676786,0.011534,-0.0123168,0.0123938,-0.0122309,0.0105868,-0.0077862,0.00484089,-0.00281334,0.00171106
125,-0.00378675,-0.00342579,0.0106473,-0.014919,0.0159917,-0.0130513,0.00715628,-0.00273419,0.00125199,-0.000393595,-0.00123837
126,-0.00360627,0.0033443,-0.000149335,-0.00340204,0.00460113,-0.00155902,-0.00379872,0.00578698,-0.00374485,0.00222636,-0.00278227
127,-0.000130985,0.00750334,-0.0108857,0.0109289,-0.0103303,0.0109134,-0.0117974,0.00952877,-0.00486594,0.00210135,-0.00130722
128,0.00368618,0.00515655,-0.0115711,0.0144914,-0.014636,0.0123972,-0.00878679,0.00434035,-0.000646523,-0.000617624,0.00138043
129,0.00442136,-0.00173977,-0.00155903,0.00425644,-0.00490153,0.00182669,0.00280156,-0.00537658,0.00482683,-0.00284431,0.00217317
130,0.0013408,-0.00705061,0.00986177,-0.0097219,0.00880446,-0.0101821,0.0121017,-0.0104981,0.00583155,-0.00189884,0.000192923
131,-0.00285491,-0.00603551,0.0121585,-0.0141727,0.0131322,-0.0118734,0.0101809,-0.00588729,0.000821257,0.00150217,-0.00217312
132,-0.00444521,0.000323259,0.003324,-0.00521451,0.00438233,-0.00179964,-0.00127052,0.00441771,-0.00569595,0.00381413,-0.00191284
133,-0.00206097,0.00624009,-0.00839537,0.00827755,-0.00831225,0.00995185,-0.0114321,0.0107722,-0.00730722,0.00231682,0.00112417
134,0.00208956,0.0064228,-0.0122876,0.0134539,-0.0122934,0.0117913,-0.0106967,0.00705581,-0.00199261,-0.00188465,0.00374517
135,0.00425618,0.000844582,-0.0050669,0.0057581,-0.00381646,0.00198763,9.89336e-05,-0.00336084,0.00561109,-0.00470567,0.00267759
136,0.00255038,-0.0053586,0.00633795,-0.00703762,0.00850509,-0.00973926,0.0105018,-0.0106696,0.00839262,-0.00310168,-0.00172576
137,-0.00140411,-0.00666041,0.0114748,-0.0126038,0.0123799,-0.0118448,0.0105515,-0.00791991,0.00353503,0.00171986,-0.00534928
138,-0.00403226,-0.00211434,0.00605816,-0.00590438,0.00395258,-0.00229512,0.000384303,0.00231132,-0.00464009,0.00522791,-0.00423039
139,-0.0030733,0.00399537,-0.00439221,0.00624989,-0.00850088,0.00948636,-0.00997099,0.010323,-0.00861035,0.00390438,0.00124469
140,0.000461037,0.00624102,-0.0100852,0.0120559,-0.0127698,0.0119067,-0.0103885,0.00852777,-0.0047186,-0.00121275,0.00622459
141,0.00335103,0.00296013,-0.00616129,0.00612028,-0.00466322,0.0025841,-0.000503081,-0.00130806,0.0033612,-0.00534702,0.00582585
142,0.00315558,-0.00250339,0.00311333,-0.00558166,0.00795111,-0.00932211,0.00995284,-0.00977533,0.00809663,-0.00451101,-2.64064e-05
143,0.000326094,-0.00514799,0.00881002,-0.0117267,0.0128639,-0.0120913,0.010658,-0.00884257,0.00521217,0.000598058,-0.00617021
144,-0.00241095,-0.00293457,0.00588304,-0.00658984,0.00539031,-0.00293433,0.00080067,0.000479015,-0.00233951,0.00516858,-0.00688195
145,-0.00267276,0.00161416,-0.00236656,0.00466024,-0.00715951,0.00923753,-0.0100708,0.00917638,-0.00730953,0.00484945,-0.00133117
146,-0.000529296,0.00409598,-0.00786428,0.0111987,-0.0126551,0.012483,-0.0113034,0.00894047,-0.00511833,-5.45799e-05,0.00545966
147,0.00178334,0.00243142,-0.0056062,0.00700792,-0.00590276,0.00349741,-0.00152842,0.000128893,0.00185351,-0.00484599,0.00722976
