b,rho_m,k_rho,abs_v,normalized_abs_v,re_v,im_v
5.0000000000e-01,7.7382168413e-04,5.1286138399e-01,5.3189259822e+01,8.8104646757e-03,4.7007624962e+01,2.4887357350e+01
5.0000000000e-01,8.2916487336e-04,5.4954087386e-01,4.6777961821e+01,7.7484736882e-03,3.9621520110e+01,2.4865897456e+01
5.0000000000e-01,8.8846616903e-04,5.8884365536e-01,4.1166709624e+01,6.8190052309e-03,3.2826958974e+01,2.4841271018e+01
5.0000000000e-01,9.5200865217e-04,6.3095734448e-01,3.6377856232e+01,6.0257619373e-03,2.6601932471e+01,2.4813012974e+01
5.0000000000e-01,1.0200956496e-03,6.7608297539e-01,3.2428312141e+01,5.3715449240e-03,2.0916925091e+01,2.4780590652e+01
5.0000000000e-01,1.0930521817e-03,7.2443596007e-01,2.9321903930e+01,4.8569880397e-03,1.5733356131e+01,2.4743394167e+01
5.0000000000e-01,1.1712265143e-03,7.7624711663e-01,2.7066115971e+01,4.4833310234e-03,1.1065658250e+01,2.4700725521e+01
5.0000000000e-01,1.2549918209e-03,8.3176377110e-01,2.5593751323e+01,4.2394431263e-03,6.8796468937e+00,2.4651786251e+01
5.0000000000e-01,1.3447479640e-03,8.9125093813e-01,2.4797254205e+01,4.1075084135e-03,3.1554957867e+00,2.4595663489e+01
5.0000000000e-01,1.4409234041e-03,9.5499258602e-01,2.4531608361e+01,4.0635058586e-03,-1.2012916203e-01,2.4531314228e+01
5.0000000000e-01,1.5439772449e-03,1.0232929923e+00,2.4635828180e+01,4.0807692128e-03,-2.9584442338e+00,2.4457547666e+01
5.0000000000e-01,1.6544014247e-03,1.0964781961e+00,2.4959167063e+01,4.1343282550e-03,-5.3774182762e+00,2.4373005419e+01
5.0000000000e-01,1.7727230652e-03,1.1748975549e+00,2.5375791701e+01,4.2033394927e-03,-7.3891715459e+00,2.4276139485e+01
5.0000000000e-01,1.8995069872e-03,1.2589254118e+00,2.5794994787e+01,4.2727778340e-03,-9.0236054149e+00,2.4165187799e+01
5.0000000000e-01,2.0353584072e-03,1.3489628826e+00,2.6143888119e+01,4.3305698091e-03,-1.0279608926e+01,2.4038147314e+01
5.0000000000e-01,2.1809258264e-03,1.4454397707e+00,2.6381461928e+01,4.3699224088e-03,-1.1185628719e+01,2.3892744581e+01
5.0000000000e-01,2.3369041263e-03,1.5488166189e+00,2.6479176230e+01,4.3861081653e-03,-1.1756042333e+01,2.3726403909e+01
5.0000000000e-01,2.5040378858e-03,1.6595869074e+00,2.6426240585e+01,4.3773397104e-03,-1.2016357699e+01,2.3536213355e+01
5.0000000000e-01,2.6831249357e-03,1.7782794100e+00,2.6219819236e+01,4.3431473186e-03,-1.1987841271e+01,2.3318888962e+01
5.0000000000e-01,2.8750201669e-03,1.9054607180e+00,2.5865727812e+01,4.2844943125e-03,-1.1695166677e+01,2.3070737995e+01
5.0000000000e-01,3.0806396118e-03,2.0417379447e+00,2.5375290478e+01,4.2032564683e-03,-1.1163764473e+01,2.2787622290e+01
5.0000000000e-01,3.3009648166e-03,2.1877616239e+00,2.4763141596e+01,4.1018578754e-03,-1.0418272431e+01,2.2464923353e+01
5.0000000000e-01,3.5370475269e-03,2.3442288153e+00,2.4049773129e+01,3.9836928981e-03,-9.4916579666e+00,2.2097511548e+01
5.0000000000e-01,3.7900147086e-03,2.5118864315e+00,2.3252058637e+01,3.8515565350e-03,-8.4052280305e+00,2.1679722614e+01
5.0000000000e-01,4.0610739274e-03,2.6915348039e+00,2.2389594144e+01,3.7086947434e-03,-7.1852092144e+00,2.1205345894e+01
5.0000000000e-01,4.3515191132e-03,2.8840315031e+00,2.1485595378e+01,3.5589530620e-03,-5.8719564887e+00,2.0667630143e+01
5.0000000000e-01,4.6627367369e-03,3.0902954325e+00,2.0549000794e+01,3.4038120895e-03,-4.4592970977e+00,2.0059314620e+01
5.0000000000e-01,4.9962124288e-03,3.3113112148e+00,1.9603798203e+01,3.2472452550e-03,-3.0012625392e+00,1.9372695402e+01
5.0000000000e-01,5.3535380705e-03,3.5481338923e+00,1.8661056326e+01,3.0910860222e-03,-1.5115258955e+00,1.8599739586e+01
5.0000000000e-01,5.7364193939e-03,3.8018939632e+00,1.7732268256e+01,2.9372381495e-03,-1.3461665279e-02,1.7732263147e+01
5.0000000000e-01,6.1466841235e-03,4.0738027780e+00,1.6826901370e+01,2.7872698476e-03,1.4742918656e+00,1.6762191778e+01
5.0000000000e-01,6.5862907015e-03,4.3651583224e+00,1.5950426713e+01,2.6420873610e-03,2.9143191694e+00,1.5681927691e+01
5.0000000000e-01,7.0573376366e-03,4.6773514129e+00,1.5108720846e+01,2.5026641046e-03,4.2968125901e+00,1.4484848883e+01
5.0000000000e-01,7.5620735212e-03,5.0118723363e+00,1.4304352531e+01,2.3694255778e-03,5.5921135246e+00,1.3165970062e+01
5.0000000000e-01,8.1029077656e-03,5.3703179637e+00,1.3538718825e+01,2.2426031940e-03,6.7729594901e+00,1.1722795195e+01
5.0000000000e-01,8.6824220994e-03,5.7543993734e+00,1.2812252952e+01,2.1222687141e-03,7.8103513817e+00,1.0156388974e+01
5.0000000000e-01,9.3033828957e-03,6.1659500186e+00,1.2124232269e+01,2.0083024370e-03,8.6724046529e+00,8.4726858581e+00
5.0000000000e-01,9.9687543768e-03,6.6069344801e+00,1.1474527098e+01,1.9006828823e-03,9.3267579685e+00,6.6840375464e+00
5.0000000000e-01,1.0681712764e-02,7.0794578438e+00,1.0861045637e+01,1.7990635562e-03,9.7373968310e+00,4.8109682285e+00
